celebrity_name,season,placement,week1_fan_vote_pct,week2_fan_vote_pct,week3_fan_vote_pct,week4_fan_vote_pct,week5_fan_vote_pct,week6_fan_vote_pct,week7_fan_vote_pct,week8_fan_vote_pct,week9_fan_vote_pct,week10_fan_vote_pct,week11_fan_vote_pct
Frankie Muniz,25,3,0.08064692791968762,0.07692308092723595,0.07692307691538464,0.0793736824443178,0.07734453373134144,0.0787531402848114,0.07692307920787105,0.08372818741273144,0.08823534227630701,0.08248317616308909,0.0
Jordan Fisher,25,1,0.07692308207347925,0.07692308092723595,0.07692307691538464,0.07692307847402392,0.07692308150063744,0.07692307863474943,0.07994633134574639,0.07692307920675166,0.08062131698538663,0.07893017006725916,0.0
Derek Fisher,25,11,0.08273897824018217,0.08326677031663302,0.07692307691538464,0.05653092909001578,0.07692308150063744,0.07692307863474943,0.07692307920787105,0.07692307920675166,0.07692307829738408,0.07692307863478441,0.0
Nikki Bella,25,8,0.07855487759919308,0.08235269349897566,0.07692307691538464,0.07937368244420412,0.0811759515336149,0.07692307863474943,0.05552771512374731,0.07692307920675166,0.07692307829523336,0.07692307863478441,0.0
Terrell Owens,25,6,0.08901512920166581,0.08235269349897566,0.07692307691538464,0.07937368244420412,0.08500736933588836,0.07692307863474943,0.08576028492763806,0.03372817542804431,0.07692307829523336,0.07692307863478441,0.0
Victoria Arlen,25,5,0.08064692791968762,0.07778230941068888,0.07692307691538464,0.07771037581835266,0.0811759515336149,0.0787531402848114,0.07692307920787105,0.09171540799623987,0.042467071960634116,0.07692307863478441,0.0
Barbara Corcoran,25,13,0.09110717952216035,0.04531427849459246,0.07692307691538464,0.07692307845723755,0.07692308150063744,0.07692307863474943,0.07692307920787105,0.07692307920675166,0.07692307829523336,0.07692307863478441,0.0
Lindsey Stirling,25,2,0.07692308207347925,0.07692308092723595,0.07692307691538464,0.07826481136283245,0.07926024263247818,0.07692307863474943,0.08343470349415379,0.08213074330185054,0.08170903487479231,0.07893017006725916,0.0
Debbie Gibson,25,12,0.08483102856067672,0.08052453986366094,0.07692307691538464,0.07692307847413761,0.07692308150063744,0.07692307863474943,0.07692307920787105,0.07692307920675166,0.07692307829523336,0.07692307863478441,0.0
Nick Lachey,25,9,0.08273897824745813,0.08326677031663302,0.07692307691538464,0.08048255353622218,0.09075449603566056,0.06979888439029061,0.07692307920787105,0.07692307920675166,0.07692307829523336,0.07692307863478441,0.0
